Price,From,To,is_holiday,avialine,duration,days_until_flight,part_of_day
19290,0,1,False,1,110,42,1
12999,0,1,False,1,110,43,0
15119,0,1,False,1,115,43,3
10879,0,1,False,1,115,44,3
10879,0,1,False,1,110,44,1
12999,0,1,False,1,110,44,0
10879,0,1,False,1,110,45,1
10879,0,1,False,1,115,45,3
13577,0,1,False,1,110,46,1
13577,0,1,False,1,110,46,3
19290,0,1,False,1,110,46,0
15119,0,1,False,1,115,47,3
15119,0,1,False,1,115,47,2
15119,0,1,False,1,110,47,1
15119,0,1,False,1,110,48,1
15119,0,1,False,1,115,48,0
15119,0,1,False,1,115,48,3
13577,0,1,False,1,110,50,0
13577,0,1,False,1,110,50,1
13577,0,1,False,1,115,50,3
9819,0,1,False,1,115,51,3
9819,0,1,False,1,110,51,0
10879,0,1,False,1,110,51,1
9819,0,1,False,1,115,52,3
10879,0,1,False,1,110,52,1
11885,0,1,False,1,110,53,3
12999,0,1,False,1,115,54,2
15119,0,1,False,1,110,54,1
15119,0,1,False,1,115,54,3
12999,0,1,False,1,115,55,0
12999,0,1,False,1,115,55,3
15119,0,1,False,1,110,55,1
15830,0,1,False,1,115,56,3
15830,0,1,False,1,115,56,3
12999,0,1,False,1,110,57,0
12999,0,1,False,1,115,57,3
9819,0,1,False,1,115,58,3
9819,0,1,False,1,110,58,1
9819,0,1,False,1,110,58,0
9819,0,1,False,1,115,59,3
9819,0,1,False,1,110,59,1
10879,0,1,False,1,110,59,0
9819,0,1,False,1,110,60,3
10879,0,1,False,1,110,60,1
12999,0,1,False,1,115,61,3
15119,0,1,False,1,110,61,1
15119,0,1,False,1,115,61,2
15119,0,1,False,1,115,62,3
15119,0,1,False,1,115,62,0
15119,0,1,False,1,110,62,1
12999,0,1,False,1,115,63,3
15119,0,1,False,1,115,63,3
18299,0,1,False,1,115,63,2
10879,0,1,False,1,110,64,0
10879,0,1,False,1,115,64,3
10879,0,1,False,1,110,64,1
10758,0,1,False,1,110,66,0
9819,0,1,False,1,115,66,3
9819,0,1,False,1,110,66,1
10879,0,1,False,1,110,67,3
10879,0,1,False,1,110,67,1
15119,0,1,False,1,110,67,0
12999,0,1,False,1,110,68,1
12999,0,1,False,1,115,68,3
15119,0,1,False,1,115,68,2
13577,0,1,False,1,110,69,1
13577,0,1,False,1,115,69,3
15830,0,1,False,1,115,69,0
14480,0,1,False,1,115,70,3
16219,0,1,False,1,110,70,1
16219,0,1,False,1,115,70,3
10879,0,1,False,1,110,71,0
10879,0,1,False,1,115,71,3
12999,0,1,False,1,110,71,1
9819,0,1,False,1,110,72,1
9819,0,1,False,1,110,72,0
9819,0,1,False,1,115,72,3
9819,0,1,False,1,110,73,0
9819,0,1,False,1,115,73,3
9819,0,1,False,1,110,73,1
11885,0,1,False,1,110,74,0
10758,0,1,False,1,110,74,3
10758,0,1,False,1,110,74,1
10879,0,1,False,1,115,75,3
10879,0,1,False,1,110,75,1
12999,0,1,False,1,115,75,2
24677,2,1,True,1,115,1,3
29447,2,1,True,1,110,1,2
29447,2,1,False,1,115,4,3
30234,2,1,False,1,115,5,3
30234,2,1,False,1,115,5,2
29447,2,1,False,1,115,6,3
29447,2,1,False,1,115,7,3
29447,2,1,False,1,115,7,2
30234,2,1,False,1,110,8,2
30234,2,1,False,1,110,8,2
30234,2,1,False,1,115,8,3
30234,2,1,False,1,115,9,3
30234,2,1,False,1,110,9,0
29447,2,1,False,1,115,10,3
29447,2,1,False,1,125,10,0
29447,2,1,False,1,110,10,1
22836,2,1,False,1,115,11,3
24677,2,1,True,1,110,16,0
29447,2,1,True,1,125,16,0
29447,2,1,False,1,110,21,2
29447,2,1,False,1,110,21,2
29447,2,1,True,1,115,22,3
29447,2,1,True,1,110,22,0
30217,2,1,False,1,125,23,0
30217,2,1,False,1,115,23,3
30217,2,1,False,1,115,24,3
30217,2,1,False,1,115,24,0
30217,2,1,False,1,115,25,3
