Price,is_holiday,duration,days_until_flight,From_Алматы,From_Астана,From_Шымкент,To_Алматы,To_Астана,To_Атырау,To_Шымкент,avialine_Air Astana,avialine_FlyArystan,avialine_Qazaq Air,avialine_SCAT,part_of_day_вечер,part_of_day_день,part_of_day_ночь,part_of_day_утро
16219,False,0.010115080290767537,1.4610103712056346,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False
16219,False,0.2425420339286282,1.4610103712056346,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True
10879,False,0.010115080290767537,1.50758539193623,True,False,False,False,True,False,False,False,True,False,False,True,False,False,False
10879,False,0.2425420339286282,1.50758539193623,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True
12999,False,0.010115080290767537,1.50758539193623,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False
9819,False,0.010115080290767537,1.5541604126668256,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False
9819,False,0.010115080290767537,1.5541604126668256,True,False,False,False,True,False,False,False,True,False,False,True,False,False,False
9819,False,0.2425420339286282,1.5541604126668256,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True
9819,False,0.010115080290767537,1.600735433397421,True,False,False,False,True,False,False,False,True,False,False,True,False,False,False
9819,False,0.2425420339286282,1.600735433397421,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True
9819,False,0.010115080290767537,1.600735433397421,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False
11885,False,0.010115080290767537,1.6473104541280166,True,False,False,False,True,False,False,False,True,False,False,True,False,False,False
10758,False,0.010115080290767537,1.6473104541280166,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True
10758,False,0.010115080290767537,1.6473104541280166,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False
10879,False,0.2425420339286282,1.693885474858612,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True
10879,False,0.010115080290767537,1.693885474858612,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False
12999,False,0.2425420339286282,1.693885474858612,True,False,False,False,True,False,False,False,True,False,False,False,False,True,False
24677,True,0.2425420339286282,-1.7526660592054568,False,False,True,False,True,False,False,False,True,False,False,False,False,False,True
29447,True,0.010115080290767537,-1.7526660592054568,False,False,True,False,True,False,False,False,True,False,False,False,False,True,False
29447,False,0.2425420339286282,-1.61294099701367,False,False,True,False,True,False,False,False,True,False,False,False,False,False,True
30234,False,0.2425420339286282,-1.5663659762830746,False,False,True,False,True,False,False,False,True,False,False,False,False,False,True
30234,False,0.2425420339286282,-1.5663659762830746,False,False,True,False,True,False,False,False,True,False,False,False,False,True,False
29447,False,0.2425420339286282,-1.5197909555524791,False,False,True,False,True,False,False,False,True,False,False,False,False,False,True
29447,False,0.2425420339286282,-1.4732159348218836,False,False,True,False,True,False,False,False,True,False,False,False,False,False,True
29447,False,0.2425420339286282,-1.4732159348218836,False,False,True,False,True,False,False,False,True,False,False,False,False,True,False
30234,False,0.010115080290767537,-1.4266409140912881,False,False,True,False,True,False,False,False,True,False,False,False,False,True,False
30234,False,0.010115080290767537,-1.4266409140912881,False,False,True,False,True,False,False,False,True,False,False,False,False,True,False
30234,False,0.2425420339286282,-1.4266409140912881,False,False,True,False,True,False,False,False,True,False,False,False,False,False,True
30234,False,0.2425420339286282,-1.3800658933606926,False,False,True,False,True,False,False,False,True,False,False,False,False,False,True
30234,False,0.010115080290767537,-1.3800658933606926,False,False,True,False,True,False,False,False,True,False,False,True,False,False,False
29447,False,0.2425420339286282,-1.3334908726300971,False,False,True,False,True,False,False,False,True,False,False,False,False,False,True
29447,False,0.7073959412043496,-1.3334908726300971,False,False,True,False,True,False,False,False,True,False,False,True,False,False,False
29447,False,0.010115080290767537,-1.3334908726300971,False,False,True,False,True,False,False,False,True,False,False,False,True,False,False
22836,False,0.2425420339286282,-1.2869158518995014,False,False,True,False,True,False,False,False,True,False,False,False,False,False,True
24677,True,0.010115080290767537,-1.054040748246524,False,False,True,False,True,False,False,False,True,False,False,True,False,False,False
29447,True,0.7073959412043496,-1.054040748246524,False,False,True,False,True,False,False,False,True,False,False,True,False,False,False
29447,False,0.010115080290767537,-0.8211656445935462,False,False,True,False,True,False,False,False,True,False,False,False,False,True,False
29447,False,0.010115080290767537,-0.8211656445935462,False,False,True,False,True,False,False,False,True,False,False,False,False,True,False
